;;x
special_reconnaissance_desc;Special reconnaissance (SR) is conducted by small units of highly trained military personnel, usually from special forces units or military intelligence organizations, who operate behind enemy lines, avoiding direct combat and detection by the enemy. As a role, SR is distinct from commando operations, although both are often carried out by the same units. The SR role frequently includes: covert direction of air and missile attacks, in areas deep behind enemy lines, placement of remotely monitored sensors and preparations for other special forces.;x
direct_action;Direct Action;x
direct_action_desc;"In the context of military special operations, direct action (DA) consists of: ""Short-duration strikes and other small-scale offensive actions conducted as a special operation in hostile, denied, or politically sensitive environments and which employ specialized military capabilities to seize, destroy, capture, exploit, recover, or damage designated targets. Direct action differs from conventional offensive actions in the level of physical and political risk, operational techniques, and the degree of discriminate and precise use of force to achieve specific objectives.""";x
universal_camouflage_pattern;Universal Camouflage Pattern;x
universal_camouflage_pattern_desc;"The Universal Camouflage Pattern (UCP), also referred to as ACUPAT (Army Combat Uniform PATtern) or Digital Camouflage (""digicam"") is the military camouflage pattern currently in use in the United States Army's Army Combat Uniform. The pattern was chosen after several laboratory and field tests that occurred from 2003 to 2004. Its pixelated pattern is a modification of the United States Marine Corps' MARPAT camouflage and research into Dual Texture (Dual-Tex) Camouflage conducted in the 1970s.";x
plastic_tipped_bullets;Plastic-Tipped Bullets;x
plastic_tipped_bullets_desc;"Plastic-tipped bullets are a type of bullet meant to confer the advantages of both spitzer and hollow-point bullets. They consist of a fairly normal hollow-point bullet with the frontal cavity filled in by hard plastic, which is molded into a streamlined shape mimicking the shape of a spitzer bullet. Upon impact, the plastic drives into the hollow point, or fragments into small pieces and the bullet performs like a regular hollow-point, expanding (""mushrooming"") to a larger diameter or fragmenting. The end result is a bullet with the streamlined characteristics of spitzer bullet and the increased terminal mushrooming of JHPs. These bullets possess the aerodynamics for longer, more accurate flights, and the in-target performance to ensure high lethality.";x
llm01;Laser Light Module 01;x
llm01_desc;The LLM01 (Laser Light Module 01) is an adaptive target acquisition module made by Oerlikon Contraves GmbH in Stockach, Germany. It is designed to be mounted with a metal integral quick release clamping adapter on the left side of the carry handle adapter of Heckler & Koch G36 assault rifles. It can also be attached to other firearms, such as the Heckler & Koch MP7 submachine gun and L85A2 assault rifle.;x
caseless_ammunition;Caseless Ammunition;x
caseless_ammunition_desc;Caseless ammunition is a type of small arms ammunition that eliminates the cartridge case that typically holds the primer, propellant, and projectile together as a unit. Caseless ammunition is an attempt to reduce the weight and cost of ammunition by dispensing with the case, which is typically precision made of brass or steel, as well as simplify the operation of repeating firearms by eliminating the need to extract and eject the empty case after firing.;x
polymer_cased_ammunition;Polymer-Cased Ammunition;x
polymer_cased_ammunition_desc;Polymer-cased ammunition (or PCA) is the concept applied to define the alternative to use polymer-based casings instead of metal-based (brass, aluminium or steel mainly) in the manufacturing of ammunition. PCA is considered an alternative to reduce cost and weight in ammunition for guns and handguns. PCA is an option, not the replacement of metal cased ammunition. Although shotgun shells are already made with a great quantity of polymer and other materials, this concept is not applicable since no shotgun shells are made 100% of metal.;x
adaptiv;Adaptiv;x
adaptiv_desc;Adaptiv is an active camouflage technology developed by BAE Systems to protect military vehicles from detection by near infrared night vision devices. It consists of an array of hexagonal plates which can be rapidly heated and cooled to form any desired image, such as of the natural background or of a non-target object.;x
phased_array_optics;Phased-Array Optics;x
phased_array_optics_desc;Phased array optics (PAO) is the technology of controlling the phase of light waves transmitting or reflecting from a two-dimensional surface by means of adjustable surface elements. It is the optical analog of phased array radar. By dynamically controlling the optical properties of a surface on a microscopic scale, it is possible to steer the direction of light beams, or the view direction of sensors, without any moving parts. Hardware associated with beam steering applications is commonly called an optical phased array (OPA).[1] Phased array beam steering is used for optical switching and multiplexing in optoelectronic devices, and for aiming laser beams on a macroscopic scale.;x
diffused_lighting_camouflage;Diffused Lighting Camouflage;x
diffused_lighting_camouflage_desc;Diffused lighting camouflage was a form of active camouflage using counter-illumination to match the background;x
multicam;MultiCam;x
multicam_desc;MultiCam is a single camouflage pattern designed to help the wearer hide in varied environments, seasons, elevations, and light conditions. It is a 7-color, multi-environment camouflage pattern developed by Crye Precision.;x
ct2ws;Cognitive Technology Threat Warning System;x
ct2ws_desc;The Cognitive Technology Threat Warning System, otherwise known as (CT2WS), is an artificial cognitive science program designed to analyze sensory-data and then alert foot-soldiers to any possible threats, passive or direct.;x
intelligent_munitions_system;Intelligent Munitions System;x
intelligent_munitions_system_desc;The IMS allows for controlled and safe use of munitions in the battlefield and prevent unwanted munitions from being buried and forgotten. It is remotely operated and can be left in the field on an automatic mode or turned off to allow friendly vehicles to pass through the area. Each module contains 4 anti-vehicle smart munitions that are fired into the air and release a guided warhead that will descend vertically on the target.;x
lower_extremity_exoskeleton;Berkeley Lower Extremity Exoskeleton;x
lower_extremity_exoskeleton_dec;The Berkeley Lower Extremity Exoskeleton (BLEEX) is a robotic device that attaches to the lower body. Its purpose is to complement the user's strength by adding extra force to one's lower extremity bodily movements.;x
powered_exoskeleton;Powered Full Exoskeleton;x
powered_exoskeleton_desc;A powered exoskeleton, also known as powered armor, or exoframe, is a powered mobile machine consisting primarily of an exoskeleton-like framework worn by a person and a power supply that supplies at least part of the activation-energy for limb movement.;x
power_subsystem;Power Subsystem;x
power_subsystem_desc;The Power Subsystem, built into the Power Centric Layer, would be fed by the Duration Central, a 2 to 20 watt Micro Turbine fueled by a liquid hydrocarbon fuel pack. According to the concept, ten ounces of fuel would power the soldier's integrated electronics ensemble for up to 6 days. Polymeric nanofiber battery patches embedded in the headgear and weapon provide back-up power for three hours.;x
microclimate_cooling_system;Microclimate Cooling System;x
microclimate_cooling_system_desc;The Microclimate Cooling System, built into the Life Critical Layer, would have been a network of narrow tubing to provide heating or cooling to the soldier, up to 100 watts.;x
wpsm_future;Warfighter Physiological Status Monitor Subsystem;x
wpsm_future_desc;WPSM was intended to be an on-board physiological and medical sensor suite that would collect and monitor information regarding vital signs such as body temperature, heart rate, blood pressure, hydration and stress levels, sleep status, body positioning and workload capacity of the warrior. If necessary, the WPSM can notify medics and commanders if the soldier has been wounded or has become fatigued.;x
combat_uniform_subsystem;Combat Uniform Subsystem;x
combat_uniform_subsystem_desc;"Described as ""Survivability Central"", was intended to contain a trio of layers, ""the Protective Outer Layer, the Power Centric Layer, and the Life Critical Layer.""";x
nett_warrior;Nett Warrior;x
nett_warrior_desc;Net Warrior – named after COL Robert B. Nett – replaced Land Warrior. Future Force Warrior was a futuristic research project with real deliverables folded into the Nett Warrior program. Situational awareness including the Rifleman Radio on every soldier, heads up display, location and Physiological Status Monitoring were the basic building blocks being implemented in increment 1.;x
headgear_subsystem;Headgear Subsystem;x
headgear_subsystem_desc;The Headgear Subsystem was the situational awareness hub of the system. It was intended to include integrated tactical processing by providing maps, routes, and data with a 180° emissive visor display, high bandwidth wireless communications, microelectronic/optics combat sensor suite that provides 360° situational awareness, and integrated small arms protection.;x
force_warrior;Future Force Warrior;x
force_warrior_desc;The Future Force Warrior concept envisions the radical use of technologies such as nanotechnology, powered exoskeletons, and magnetorheological fluid-based body armor to provide the infantry with significantly higher force multiplier than the opposing force.;x
mech_prototypes;Mech Prototypes;x
mech_prototypes_desc;Early models of the fighting mechanical unit;x
drone_prototypes;Drone Prototypes;x
drone_prototypes_desc;Early flying drones;x
MAY_GAS_ATTACK;Can use Missile Attacks\n;x
MAY_GAS_DEFEND;Can defend against Missile Attacks\n;x
